ITEM,CONDITION,SENTENCE,QUESTION,CORRECT,WRONG,LIST,TYPE
1,1,בשבוע_שעבר הופסקו במקרה השידור של המשחק למשך כמה_שעות,0,לא טוב,טוב,1,item
1001,1001,לפני_יומיים נשרט בלי_כוונה המכסה של הסיר בחנות_החשמל בקניון,1,טוב,לא טוב,1,filler
1002,1001,אתמול נרטב לגמרי הריפוד של הכיסא בחדר_האורחים בבית,0,טוב,לא טוב,1,filler
2,2,אתמול בבוקר נשרפו כליל הכבל של המנועים ברכבת_הקלה בירושלים,1,לא טוב,טוב,1,item
1003,1001,היום בצוהריים הופץ מייד המשלוח של המכתבים בסניף_הדואר המרכזי,1,טוב,לא טוב,1,filler
1004,1001,אתמול בערב נשטפו מחדש המגשים של התנור בבית_הקפה בעיר,0,טוב,לא טוב,1,filler
1005,1001,שבוע שעבר בוטלו למרבה_האכזבה הכרטיסים של הקונצרט בפארק_הירקון בתל_אביב,0,טוב,לא טוב,1,filler
3,3,אתמול בערב הסורק של השבב כנראה נשברו בחברת_ההייטק בעיר,1,לא טוב,טוב,1,item
1006,1001,היום בבוקר נפרצו למרבה_התדהמה המנעולים של החדרים בבית_המלון באילת,0,טוב,לא טוב,1,filler
1007,1001,לפנות_בוקר נהרסו לחלוטין המסכים של המחשבים במעבדה לחומרים מסוכנים,0,טוב,לא טוב,1,filler
4,4,לפני_חודש המחסום של היישובים ככל_הנראה נפרצו בעוטף_עזה,1,לא טוב,טוב,1,item
1008,1001,לקראת_הבוקר הקולטנים של הבתים בוודאות הושחתו בחנות_המפעל בעיר,0,טוב,לא טוב,1,filler
